,Name,Household Income,Asian Amer.,Black Amer.,Hispanic Amer.,White Amer.,Other,state,Zipcode
1963,ZCTA5 07001,68426.0,3684.0,4650.0,3681.0,8683.0,846.0,34,07001
1964,ZCTA5 07002,56701.0,5982.0,7415.0,19751.0,43832.0,6517.0,34,07002
1965,ZCTA5 07003,74961.0,4612.0,9142.0,13801.0,30547.0,3199.0,34,07003
1966,ZCTA5 07004,107417.0,259.0,0.0,469.0,7248.0,19.0,34,07004
1967,ZCTA5 07005,109888.0,1314.0,299.0,1512.0,12999.0,292.0,34,07005
1968,ZCTA5 07006,114096.0,1560.0,365.0,1728.0,23196.0,286.0,34,07006
1969,ZCTA5 07008,73892.0,5606.0,3692.0,8258.0,12757.0,1209.0,34,07008
1970,ZCTA5 07009,115926.0,904.0,875.0,693.0,10696.0,12.0,34,07009
1971,ZCTA5 07010,67799.0,4161.0,809.0,7473.0,16631.0,2528.0,34,07010
1972,ZCTA5 07011,56285.0,2064.0,3493.0,22908.0,24882.0,10170.0,34,07011
1973,ZCTA5 07012,86472.0,1724.0,399.0,1865.0,8725.0,155.0,34,07012
1974,ZCTA5 07013,93005.0,3766.0,1131.0,5787.0,19690.0,1902.0,34,07013
1975,ZCTA5 07014,96339.0,843.0,607.0,1215.0,3338.0,161.0,34,07014
1976,ZCTA5 07016,122848.0,745.0,673.0,2390.0,21413.0,821.0,34,07016
1977,ZCTA5 07017,41322.0,559.0,31016.0,4460.0,1145.0,3257.0,34,07017
1978,ZCTA5 07018,42335.0,253.0,25882.0,1533.0,1123.0,935.0,34,07018
1979,ZCTA5 07020,103505.0,4338.0,630.0,1647.0,6734.0,215.0,34,07020
1980,ZCTA5 07021,198750.0,93.0,7.0,119.0,1874.0,0.0,34,07021
1981,ZCTA5 07022,56057.0,540.0,453.0,8443.0,11325.0,1719.0,34,07022
1982,ZCTA5 07023,132292.0,691.0,514.0,599.0,6211.0,0.0,34,07023
1983,ZCTA5 07024,76623.0,15349.0,960.0,4855.0,18720.0,776.0,34,07024
1984,ZCTA5 07026,54037.0,750.0,1464.0,11399.0,26750.0,1992.0,34,07026
1985,ZCTA5 07027,79063.0,74.0,68.0,671.0,4147.0,42.0,34,07027
1986,ZCTA5 07028,195714.0,441.0,625.0,891.0,6371.0,38.0,34,07028
1987,ZCTA5 07029,61084.0,3763.0,659.0,9004.0,9262.0,4503.0,34,07029
1988,ZCTA5 07030,127523.0,5029.0,1471.0,8777.0,44867.0,888.0,34,07030
1989,ZCTA5 07031,74481.0,1285.0,450.0,4390.0,12885.0,912.0,34,07031
1990,ZCTA5 07032,63222.0,2095.0,1940.0,19953.0,28462.0,8017.0,34,07032
1991,ZCTA5 07033,108281.0,553.0,147.0,2251.0,6433.0,769.0,34,07033
1992,ZCTA5 07034,82626.0,2587.0,401.0,938.0,5759.0,209.0,34,07034
1993,ZCTA5 07035,92075.0,554.0,245.0,1211.0,9542.0,140.0,34,07035
1994,ZCTA5 07036,66166.0,1668.0,12678.0,12965.0,24052.0,3901.0,34,07036
1995,ZCTA5 07039,153381.0,6721.0,494.0,1205.0,21674.0,241.0,34,07039
1996,ZCTA5 07040,125036.0,688.0,8275.0,1952.0,13979.0,568.0,34,07040
1997,ZCTA5 07041,104786.0,1377.0,599.0,423.0,4992.0,121.0,34,07041
1998,ZCTA5 07042,97920.0,869.0,8836.0,2926.0,14512.0,719.0,34,07042
1999,ZCTA5 07043,191449.0,473.0,700.0,929.0,10874.0,148.0,34,07043
2000,ZCTA5 07044,110745.0,864.0,369.0,790.0,12308.0,79.0,34,07044
2001,ZCTA5 07045,162798.0,1826.0,150.0,536.0,8486.0,0.0,34,07045
2002,ZCTA5 07046,175556.0,649.0,27.0,103.0,3562.0,0.0,34,07046
2003,ZCTA5 07047,57269.0,4381.0,2109.0,46386.0,44107.0,11105.0,34,07047
2004,ZCTA5 07050,38506.0,426.0,21683.0,7549.0,3990.0,4159.0,34,07050
2005,ZCTA5 07052,93954.0,3847.0,13051.0,9465.0,27466.0,1650.0,34,07052
2006,ZCTA5 07054,90355.0,11357.0,1449.0,3288.0,15874.0,404.0,34,07054
2007,ZCTA5 07055,34958.0,2399.0,7040.0,52009.0,40505.0,17466.0,34,07055
2008,ZCTA5 07057,62648.0,672.0,431.0,1696.0,10401.0,82.0,34,07057
2009,ZCTA5 07058,114229.0,1392.0,20.0,210.0,3411.0,0.0,34,07058
2010,ZCTA5 07059,154429.0,2897.0,127.0,907.0,12601.0,0.0,34,07059
2011,ZCTA5 07060,57959.0,1233.0,13085.0,23416.0,14900.0,15445.0,34,07060
2012,ZCTA5 07062,67664.0,171.0,7278.0,3275.0,2737.0,2317.0,34,07062
2013,ZCTA5 07063,72440.0,434.0,4992.0,6168.0,3593.0,4692.0,34,07063
2014,ZCTA5 07064,81912.0,534.0,578.0,1073.0,2869.0,94.0,34,07064
2015,ZCTA5 07065,69932.0,1108.0,8641.0,9575.0,14581.0,4014.0,34,07065
2016,ZCTA5 07066,100000.0,430.0,209.0,2131.0,14698.0,99.0,34,07066
2017,ZCTA5 07067,103205.0,2479.0,854.0,1714.0,13424.0,507.0,34,07067
2018,ZCTA5 07068,110208.0,600.0,0.0,433.0,5038.0,53.0,34,07068
2019,ZCTA5 07069,122434.0,945.0,79.0,606.0,5051.0,23.0,34,07069
2020,ZCTA5 07070,93787.0,3267.0,425.0,3128.0,13832.0,253.0,34,07070
2021,ZCTA5 07071,73218.0,1754.0,259.0,4981.0,18817.0,726.0,34,07071
2022,ZCTA5 07072,89419.0,538.0,0.0,1671.0,5334.0,218.0,34,07072
2023,ZCTA5 07073,77400.0,1833.0,443.0,1948.0,6482.0,369.0,34,07073
2024,ZCTA5 07074,59700.0,229.0,0.0,845.0,1914.0,447.0,34,07074
2025,ZCTA5 07075,102283.0,1158.0,224.0,1147.0,6626.0,140.0,34,07075
2026,ZCTA5 07076,117765.0,2082.0,3018.0,1959.0,18235.0,492.0,34,07076
2027,ZCTA5 07077,76389.0,143.0,241.0,415.0,1996.0,23.0,34,07077
2028,ZCTA5 07078,250001.0,2890.0,34.0,481.0,9596.0,283.0,34,07078
2029,ZCTA5 07079,121637.0,832.0,4389.0,1083.0,10483.0,120.0,34,07079
2030,ZCTA5 07080,91250.0,4076.0,2648.0,3988.0,14952.0,1814.0,34,07080
2031,ZCTA5 07081,110547.0,1725.0,1522.0,1828.0,13382.0,746.0,34,07081
2032,ZCTA5 07082,116615.0,857.0,7.0,302.0,4228.0,75.0,34,07082
2033,ZCTA5 07083,81359.0,6040.0,15355.0,9268.0,28337.0,4414.0,34,07083
2034,ZCTA5 07086,84841.0,1425.0,567.0,5365.0,10703.0,856.0,34,07086
2035,ZCTA5 07087,43407.0,2856.0,3427.0,55573.0,50387.0,10856.0,34,07087
2036,ZCTA5 07088,50299.0,49.0,2714.0,305.0,381.0,137.0,34,07088
2037,ZCTA5 07090,159923.0,1922.0,1064.0,2324.0,26086.0,925.0,34,07090
2038,ZCTA5 07092,129405.0,482.0,113.0,257.0,6037.0,91.0,34,07092
2039,ZCTA5 07093,51509.0,4183.0,2200.0,48774.0,38606.0,17434.0,34,07093
2040,ZCTA5 07094,99883.0,5796.0,590.0,3254.0,11851.0,470.0,34,07094
2041,ZCTA5 07095,80196.0,4351.0,2279.0,4537.0,11236.0,952.0,34,07095
2042,ZCTA5 07102,24353.0,791.0,6270.0,3160.0,3339.0,1753.0,34,07102
2043,ZCTA5 07103,27859.0,647.0,25875.0,5116.0,2492.0,2893.0,34,07103
2044,ZCTA5 07104,36547.0,978.0,13824.0,33550.0,17976.0,15173.0,34,07104
2045,ZCTA5 07105,45227.0,292.0,4615.0,27274.0,31056.0,16138.0,34,07105
2046,ZCTA5 07106,37421.0,1263.0,26901.0,3391.0,1324.0,2633.0,34,07106
2047,ZCTA5 07107,30779.0,511.0,13764.0,21962.0,10114.0,12048.0,34,07107
2048,ZCTA5 07108,25192.0,79.0,18748.0,3005.0,889.0,2063.0,34,07108
2049,ZCTA5 07109,67782.0,4043.0,3692.0,16205.0,22240.0,4865.0,34,07109
2050,ZCTA5 07110,94128.0,3330.0,860.0,4497.0,22939.0,764.0,34,07110
2051,ZCTA5 07111,39734.0,816.0,47519.0,5263.0,3512.0,2300.0,34,07111
2052,ZCTA5 07112,35765.0,288.0,24034.0,1176.0,533.0,917.0,34,07112
2053,ZCTA5 07114,26326.0,89.0,7832.0,4261.0,3793.0,1790.0,34,07114
2054,ZCTA5 07201,44655.0,163.0,7401.0,16163.0,13588.0,4799.0,34,07201
2055,ZCTA5 07202,44867.0,962.0,5744.0,27774.0,18279.0,15340.0,34,07202
2056,ZCTA5 07203,52480.0,342.0,11109.0,6710.0,5632.0,4103.0,34,07203
2057,ZCTA5 07204,67300.0,1144.0,1282.0,3731.0,8526.0,2343.0,34,07204
2058,ZCTA5 07205,65717.0,922.0,12151.0,3824.0,5694.0,2572.0,34,07205
2059,ZCTA5 07206,43429.0,147.0,6121.0,19005.0,9181.0,11214.0,34,07206
2060,ZCTA5 07208,46572.0,1044.0,5520.0,19981.0,19241.0,5315.0,34,07208
2061,ZCTA5 07302,113898.0,12642.0,3552.0,8037.0,23587.0,916.0,34,07302
2062,ZCTA5 07304,45870.0,6440.0,16811.0,14012.0,10666.0,8017.0,34,07304
2063,ZCTA5 07305,49453.0,11331.0,31972.0,16633.0,13236.0,7812.0,34,07305
2064,ZCTA5 07306,51197.0,19262.0,7464.0,15960.0,24163.0,2499.0,34,07306
2065,ZCTA5 07307,59744.0,9307.0,3077.0,20989.0,18844.0,11287.0,34,07307
2066,ZCTA5 07310,147357.0,8519.0,819.0,939.0,3241.0,233.0,34,07310
2067,ZCTA5 07311,189750.0,25.0,41.0,58.0,354.0,0.0,34,07311
2068,ZCTA5 07401,151875.0,801.0,74.0,123.0,5805.0,0.0,34,07401
2069,ZCTA5 07403,80872.0,318.0,174.0,1465.0,7311.0,132.0,34,07403
2070,ZCTA5 07405,113281.0,937.0,39.0,2459.0,16241.0,110.0,34,07405
2071,ZCTA5 07407,76907.0,1716.0,1354.0,5501.0,15169.0,1242.0,34,07407
2072,ZCTA5 07410,109747.0,4433.0,548.0,4577.0,27407.0,491.0,34,07410
2073,ZCTA5 07416,59477.0,40.0,224.0,356.0,5227.0,24.0,34,07416
2074,ZCTA5 07417,155458.0,930.0,195.0,835.0,9347.0,245.0,34,07417
2075,ZCTA5 07418,128438.0,16.0,89.0,98.0,2162.0,0.0,34,07418
2076,ZCTA5 07419,85225.0,214.0,259.0,353.0,8046.0,20.0,34,07419
2077,ZCTA5 07420,80614.0,250.0,314.0,696.0,4277.0,80.0,34,07420
2078,ZCTA5 07421,90412.0,129.0,98.0,462.0,6489.0,357.0,34,07421
2079,ZCTA5 07422,86250.0,20.0,68.0,567.0,6089.0,74.0,34,07422
2080,ZCTA5 07423,176518.0,290.0,1.0,357.0,3758.0,39.0,34,07423
2081,ZCTA5 07424,79302.0,1788.0,1288.0,5006.0,22156.0,930.0,34,07424
2082,ZCTA5 07430,107215.0,3507.0,873.0,2327.0,21290.0,553.0,34,07430
2083,ZCTA5 07432,105313.0,65.0,60.0,976.0,6987.0,124.0,34,07432
2084,ZCTA5 07435,124500.0,145.0,0.0,96.0,2520.0,21.0,34,07435
2085,ZCTA5 07436,112944.0,733.0,296.0,916.0,11962.0,16.0,34,07436
2086,ZCTA5 07438,106035.0,145.0,110.0,927.0,10890.0,79.0,34,07438
2087,ZCTA5 07439,84167.0,76.0,11.0,213.0,2326.0,17.0,34,07439
2088,ZCTA5 07440,104236.0,63.0,22.0,342.0,3966.0,54.0,34,07440
2089,ZCTA5 07442,92952.0,622.0,148.0,1898.0,9825.0,251.0,34,07442
2090,ZCTA5 07444,91060.0,158.0,1.0,950.0,10707.0,225.0,34,07444
2091,ZCTA5 07446,137331.0,1540.0,19.0,845.0,13415.0,24.0,34,07446
2092,ZCTA5 07450,162201.0,3770.0,425.0,1984.0,20385.0,98.0,34,07450
2093,ZCTA5 07452,162443.0,1319.0,102.0,843.0,10127.0,13.0,34,07452
2094,ZCTA5 07456,115399.0,508.0,168.0,831.0,11023.0,229.0,34,07456
2095,ZCTA5 07457,100602.0,194.0,0.0,445.0,3893.0,128.0,34,07457
2096,ZCTA5 07458,176455.0,1734.0,592.0,679.0,8870.0,59.0,34,07458
2097,ZCTA5 07460,96176.0,18.0,9.0,118.0,3360.0,0.0,34,07460
2098,ZCTA5 07461,84676.0,414.0,293.0,1222.0,17363.0,37.0,34,07461
2099,ZCTA5 07462,88223.0,0.0,243.0,930.0,6049.0,175.0,34,07462
2100,ZCTA5 07463,115591.0,819.0,189.0,994.0,8686.0,118.0,34,07463
2101,ZCTA5 07465,85545.0,263.0,156.0,447.0,6166.0,25.0,34,07465
2102,ZCTA5 07470,108092.0,4525.0,986.0,6654.0,48016.0,773.0,34,07470
2103,ZCTA5 07480,100963.0,279.0,194.0,1837.0,15799.0,74.0,34,07480
2104,ZCTA5 07481,147463.0,896.0,102.0,585.0,15940.0,33.0,34,07481
2105,ZCTA5 07495,-666666666.0,0.0,0.0,0.0,0.0,0.0,34,07495
2106,ZCTA5 07501,26691.0,720.0,8649.0,21618.0,7916.0,14118.0,34,07501
2107,ZCTA5 07502,52292.0,2658.0,3503.0,9288.0,6528.0,2932.0,34,07502
2108,ZCTA5 07503,40368.0,416.0,1096.0,11666.0,8246.0,7515.0,34,07503
2109,ZCTA5 07504,58125.0,78.0,5794.0,5067.0,2652.0,2105.0,34,07504
2110,ZCTA5 07505,26198.0,85.0,1118.0,1407.0,807.0,653.0,34,07505
2111,ZCTA5 07506,93675.0,151.0,511.0,3924.0,17277.0,767.0,34,07506
2112,ZCTA5 07508,77128.0,893.0,1970.0,8088.0,16954.0,2279.0,34,07508
2113,ZCTA5 07512,97729.0,689.0,377.0,1777.0,9157.0,420.0,34,07512
2114,ZCTA5 07513,39665.0,1.0,2062.0,10605.0,3119.0,6946.0,34,07513
2115,ZCTA5 07514,39951.0,50.0,8818.0,10591.0,3537.0,7181.0,34,07514
2116,ZCTA5 07522,30902.0,1747.0,6780.0,10301.0,6603.0,3605.0,34,07522
2117,ZCTA5 07524,35397.0,43.0,3247.0,9272.0,4917.0,3381.0,34,07524
2118,ZCTA5 07601,59277.0,4675.0,11280.0,17044.0,20474.0,6562.0,34,07601
2119,ZCTA5 07603,79356.0,499.0,896.0,3755.0,5759.0,976.0,34,07603
2120,ZCTA5 07604,87800.0,1573.0,359.0,1782.0,9726.0,373.0,34,07604
2121,ZCTA5 07605,89744.0,3767.0,258.0,1557.0,4472.0,178.0,34,07605
2122,ZCTA5 07606,66094.0,94.0,195.0,1195.0,1866.0,404.0,34,07606
2123,ZCTA5 07607,86100.0,1530.0,460.0,2038.0,6975.0,455.0,34,07607
2124,ZCTA5 07608,-666666666.0,0.0,0.0,40.0,100.0,8.0,34,07608
2125,ZCTA5 07620,118068.0,424.0,133.0,95.0,891.0,21.0,34,07620
2126,ZCTA5 07621,90962.0,7856.0,2176.0,7276.0,13668.0,3354.0,34,07621
2127,ZCTA5 07624,130815.0,3134.0,336.0,643.0,5153.0,20.0,34,07624
2128,ZCTA5 07626,136250.0,2417.0,35.0,671.0,6107.0,78.0,34,07626
2129,ZCTA5 07627,149271.0,1638.0,14.0,397.0,3206.0,31.0,34,07627
2130,ZCTA5 07628,94617.0,2971.0,912.0,3224.0,12756.0,862.0,34,07628
2131,ZCTA5 07630,111536.0,685.0,83.0,1007.0,6619.0,100.0,34,07630
2132,ZCTA5 07631,80489.0,3515.0,8771.0,6989.0,12956.0,1985.0,34,07631
2133,ZCTA5 07632,134904.0,2221.0,99.0,267.0,3080.0,9.0,34,07632
2134,ZCTA5 07640,127188.0,902.0,32.0,355.0,3769.0,20.0,34,07640
