,Zipcode,state,Total_4_Household Income,Total_4_Asian Amer.,Total_4_Black Amer.,Total_4_Hispanic Amer.,Total_4_White Amer.,Total_4_Other
0,07001,34,343075.0,18426.0,22192.0,17039.0,44953.0,3357.0
1,07002,34,289847.0,31204.0,35874.0,94537.0,216586.0,31253.0
2,07003,34,375154.0,21905.0,46003.0,68466.0,150661.0,16794.0
3,07004,34,554234.0,1221.0,0.0,2475.0,35704.0,72.0
4,07005,34,538634.0,6511.0,2160.0,7265.0,64701.0,1204.0
5,07006,34,567601.0,7218.0,2124.0,8572.0,114773.0,1514.0
6,07008,34,356759.0,25858.0,18154.0,40677.0,65382.0,6226.0
7,07009,34,571544.0,4871.0,3553.0,3287.0,53511.0,73.0
8,07010,34,328979.0,19012.0,3989.0,37880.0,85712.0,11172.0
9,07011,34,284570.0,9718.0,15111.0,112024.0,128186.0,45787.0
10,07012,34,407742.0,9014.0,2073.0,9443.0,44842.0,1234.0
11,07013,34,443431.0,17614.0,6193.0,28856.0,97195.0,8949.0
12,07014,34,478714.0,3913.0,2741.0,6363.0,17129.0,1077.0
13,07016,34,611336.0,3699.0,3217.0,10859.0,106319.0,3533.0
14,07017,34,210657.0,2476.0,155066.0,20759.0,6035.0,14714.0
15,07018,34,209727.0,1291.0,126628.0,9461.0,5074.0,6429.0
16,07020,34,541991.0,21549.0,3185.0,8110.0,32843.0,1045.0
17,07021,34,956377.0,405.0,23.0,633.0,9817.0,0.0
18,07022,34,279484.0,3862.0,2222.0,42166.0,53260.0,9754.0
19,07023,34,644937.0,2664.0,2201.0,3345.0,31435.0,51.0
20,07024,34,384459.0,76829.0,4447.0,24077.0,93511.0,4257.0
21,07026,34,267809.0,3997.0,7600.0,57403.0,132245.0,9268.0
22,07027,34,401296.0,394.0,262.0,3427.0,20081.0,650.0
23,07028,34,947781.0,1924.0,2609.0,4010.0,31841.0,300.0
24,07029,34,309663.0,17323.0,2851.0,45919.0,46462.0,23173.0
25,07030,34,644405.0,24261.0,7986.0,41774.0,220205.0,4879.0
26,07031,34,377481.0,6287.0,1853.0,22024.0,64475.0,4582.0
27,07032,34,322689.0,10236.0,9165.0,100545.0,140240.0,40714.0
28,07033,34,498642.0,2020.0,1371.0,9248.0,32425.0,3201.0
29,07034,34,425193.0,13083.0,1618.0,5072.0,29006.0,1084.0
30,07035,34,451387.0,2713.0,1280.0,5604.0,47705.0,676.0
31,07036,34,333857.0,7108.0,62875.0,65517.0,121145.0,18451.0
32,07039,34,772532.0,34425.0,2675.0,5755.0,107151.0,1232.0
33,07040,34,629493.0,3445.0,42630.0,9286.0,69369.0,2280.0
34,07041,34,551910.0,6815.0,2675.0,2718.0,24909.0,640.0
35,07042,34,477115.0,4862.0,42526.0,14409.0,72068.0,3740.0
36,07043,34,953995.0,2503.0,3558.0,4585.0,54821.0,752.0
37,07044,34,561880.0,3661.0,1582.0,4478.0,61922.0,369.0
38,07045,34,759985.0,9485.0,689.0,2413.0,41562.0,0.0
39,07046,34,956135.0,3091.0,97.0,655.0,17968.0,20.0
40,07047,34,294262.0,21479.0,11248.0,225127.0,215640.0,53518.0
41,07050,34,188585.0,2194.0,108120.0,36086.0,18263.0,20987.0
42,07052,34,482291.0,18023.0,64402.0,45639.0,135524.0,9112.0
43,07054,34,450642.0,56269.0,6728.0,15637.0,79180.0,1680.0
44,07055,34,177926.0,11026.0,34333.0,257640.0,197607.0,93319.0
45,07057,34,310065.0,3664.0,2203.0,8202.0,50922.0,526.0
46,07058,34,610149.0,7327.0,45.0,1982.0,18148.0,21.0
47,07059,34,772569.0,14277.0,685.0,4890.0,61955.0,778.0
