,Name,Household Income,Asian American,Black American,Hispanic American,White American,Other,state,Zip Code
15064,ZCTA5 07504,50203.0,8.0,6429.0,5587.0,2670.0,1946.0,34,07504
15065,ZCTA5 07505,28426.0,61.0,1039.0,1676.0,862.0,805.0,34,07505
15066,ZCTA5 07506,89472.0,216.0,299.0,3869.0,17369.0,702.0,34,07506
15067,ZCTA5 07508,75578.0,992.0,1863.0,7521.0,16921.0,2136.0,34,07508
15068,ZCTA5 07512,96573.0,695.0,422.0,1603.0,9115.0,442.0,34,07512
15069,ZCTA5 07513,40645.0,4.0,2130.0,10454.0,3895.0,5568.0,34,07513
15070,ZCTA5 07514,36880.0,43.0,9319.0,10249.0,3763.0,5937.0,34,07514
15071,ZCTA5 07522,28785.0,1476.0,6768.0,9832.0,6353.0,3086.0,34,07522
15072,ZCTA5 07524,32701.0,69.0,3571.0,8890.0,5248.0,2636.0,34,07524
15073,ZCTA5 07601,56222.0,4377.0,10886.0,16152.0,19438.0,8078.0,34,07601
15074,ZCTA5 07603,78059.0,740.0,679.0,3511.0,5585.0,1003.0,34,07603
15075,ZCTA5 07604,82870.0,1558.0,213.0,1479.0,9849.0,350.0,34,07604
15076,ZCTA5 07605,88401.0,3696.0,138.0,1543.0,4575.0,179.0,34,07605
15077,ZCTA5 07606,66023.0,93.0,177.0,1156.0,1858.0,422.0,34,07606
15078,ZCTA5 07607,86155.0,1251.0,315.0,1975.0,7524.0,382.0,34,07607
15079,ZCTA5 07608,31250.0,0.0,0.0,19.0,82.0,4.0,34,07608
15080,ZCTA5 07620,113750.0,444.0,141.0,122.0,895.0,15.0,34,07620
15081,ZCTA5 07621,81042.0,7953.0,1915.0,7304.0,12907.0,3873.0,34,07621
15082,ZCTA5 07624,128807.0,3423.0,335.0,434.0,4814.0,26.0,34,07624
15083,ZCTA5 07626,117164.0,2170.0,64.0,785.0,6323.0,0.0,34,07626
15084,ZCTA5 07627,150139.0,1476.0,11.0,522.0,3406.0,41.0,34,07627
15085,ZCTA5 07628,96395.0,2768.0,869.0,3143.0,12855.0,849.0,34,07628
15086,ZCTA5 07630,109613.0,569.0,29.0,756.0,6648.0,104.0,34,07630
15087,ZCTA5 07631,77204.0,3467.0,8577.0,6597.0,12369.0,2348.0,34,07631
15088,ZCTA5 07632,132165.0,2298.0,76.0,248.0,3051.0,13.0,34,07632
15089,ZCTA5 07640,136313.0,855.0,34.0,380.0,3781.0,16.0,34,07640
15090,ZCTA5 07641,168371.0,547.0,36.0,76.0,2775.0,0.0,34,07641
15091,ZCTA5 07642,118138.0,776.0,138.0,1005.0,9102.0,300.0,34,07642
15092,ZCTA5 07643,62543.0,3256.0,312.0,2803.0,6448.0,565.0,34,07643
15093,ZCTA5 07644,53807.0,2537.0,2303.0,9060.0,17674.0,1419.0,34,07644
15094,ZCTA5 07645,111436.0,1073.0,101.0,929.0,6768.0,297.0,34,07645
15095,ZCTA5 07646,80709.0,2920.0,681.0,3168.0,11674.0,937.0,34,07646
15096,ZCTA5 07647,90647.0,1271.0,128.0,504.0,3822.0,98.0,34,07647
15097,ZCTA5 07648,112031.0,1627.0,89.0,448.0,3988.0,55.0,34,07648
15098,ZCTA5 07649,145761.0,1059.0,186.0,362.0,6477.0,126.0,34,07649
15099,ZCTA5 07650,63194.0,11712.0,355.0,4225.0,6094.0,1678.0,34,07650
15100,ZCTA5 07652,101793.0,7129.0,762.0,2490.0,17939.0,405.0,34,07652
15101,ZCTA5 07656,103700.0,251.0,242.0,1441.0,7730.0,313.0,34,07656
15102,ZCTA5 07657,70461.0,3615.0,140.0,3085.0,6566.0,566.0,34,07657
15103,ZCTA5 07660,64980.0,1815.0,762.0,5208.0,8426.0,1578.0,34,07660
15104,ZCTA5 07661,111250.0,2559.0,114.0,1349.0,8251.0,400.0,34,07661
15105,ZCTA5 07662,76354.0,738.0,75.0,1262.0,4658.0,78.0,34,07662
15106,ZCTA5 07663,93373.0,1248.0,161.0,2111.0,11935.0,420.0,34,07663
15107,ZCTA5 07666,101128.0,3466.0,11904.0,7009.0,20553.0,3595.0,34,07666
15108,ZCTA5 07670,144353.0,3691.0,381.0,1470.0,10061.0,362.0,34,07670
15109,ZCTA5 07675,115177.0,2740.0,1009.0,2614.0,21940.0,917.0,34,07675
15110,ZCTA5 07676,113835.0,565.0,19.0,718.0,8597.0,90.0,34,07676
15111,ZCTA5 07677,150862.0,399.0,159.0,67.0,5232.0,0.0,34,07677
15112,ZCTA5 07701,76259.0,462.0,1726.0,5060.0,18254.0,2860.0,34,07701
15113,ZCTA5 07702,116071.0,37.0,24.0,156.0,3905.0,0.0,34,07702
15114,ZCTA5 07703,-666666666.0,0.0,13.0,25.0,42.0,13.0,34,07703
15115,ZCTA5 07704,161131.0,31.0,183.0,156.0,5784.0,0.0,34,07704
15116,ZCTA5 07711,135000.0,13.0,2.0,38.0,1498.0,8.0,34,07711
15117,ZCTA5 07712,56355.0,1566.0,9996.0,7537.0,23681.0,2080.0,34,07712
15118,ZCTA5 07716,88287.0,110.0,279.0,486.0,8176.0,60.0,34,07716
15119,ZCTA5 07717,73516.0,0.0,7.0,60.0,1778.0,44.0,34,07717
15120,ZCTA5 07718,92266.0,300.0,30.0,707.0,6732.0,163.0,34,07718
15121,ZCTA5 07719,84786.0,248.0,255.0,1332.0,19961.0,251.0,34,07719
15122,ZCTA5 07720,59643.0,67.0,212.0,550.0,3808.0,20.0,34,07720
15123,ZCTA5 07721,69071.0,347.0,987.0,325.0,1563.0,164.0,34,07721
15124,ZCTA5 07722,157125.0,242.0,162.0,364.0,9504.0,32.0,34,07722
15125,ZCTA5 07723,81250.0,5.0,12.0,40.0,987.0,0.0,34,07723
15126,ZCTA5 07724,74135.0,1420.0,2200.0,2880.0,17126.0,418.0,34,07724
15127,ZCTA5 07726,106355.0,3718.0,627.0,2637.0,38669.0,440.0,34,07726
15128,ZCTA5 07727,75665.0,319.0,934.0,659.0,6815.0,13.0,34,07727
15129,ZCTA5 07728,85780.0,3352.0,4115.0,8681.0,45854.0,1637.0,34,07728
15130,ZCTA5 07730,91500.0,852.0,454.0,1416.0,15815.0,139.0,34,07730
15131,ZCTA5 07731,99437.0,1794.0,1566.0,3723.0,32939.0,696.0,34,07731
15132,ZCTA5 07732,61487.0,36.0,73.0,358.0,4505.0,212.0,34,07732
15133,ZCTA5 07733,144983.0,3319.0,289.0,938.0,12500.0,281.0,34,07733
15134,ZCTA5 07734,52857.0,339.0,825.0,1967.0,10369.0,683.0,34,07734
15135,ZCTA5 07735,63600.0,752.0,1580.0,2488.0,14841.0,1163.0,34,07735
15136,ZCTA5 07737,80847.0,69.0,0.0,234.0,3531.0,40.0,34,07737
15137,ZCTA5 07738,129773.0,313.0,108.0,284.0,5776.0,26.0,34,07738
15138,ZCTA5 07739,137652.0,47.0,24.0,169.0,5818.0,0.0,34,07739
15139,ZCTA5 07740,51918.0,1090.0,4062.0,9557.0,20759.0,4027.0,34,07740
15140,ZCTA5 07746,140511.0,2784.0,548.0,883.0,14858.0,259.0,34,07746
15141,ZCTA5 07747,92500.0,3059.0,1627.0,3228.0,24875.0,978.0,34,07747
15142,ZCTA5 07748,114136.0,1053.0,152.0,1696.0,25391.0,108.0,34,07748
15143,ZCTA5 07750,106172.0,15.0,0.0,100.0,3129.0,0.0,34,07750
15144,ZCTA5 07751,142321.0,4309.0,246.0,639.0,14789.0,13.0,34,07751
15145,ZCTA5 07753,61104.0,968.0,11368.0,3412.0,21967.0,1460.0,34,07753
15146,ZCTA5 07755,86768.0,132.0,77.0,313.0,5368.0,85.0,34,07755
15147,ZCTA5 07756,58682.0,89.0,88.0,216.0,2864.0,15.0,34,07756
15148,ZCTA5 07757,106648.0,113.0,59.0,264.0,5464.0,18.0,34,07757
15149,ZCTA5 07758,91799.0,78.0,61.0,409.0,4296.0,53.0,34,07758
15150,ZCTA5 07760,130000.0,123.0,140.0,401.0,8522.0,83.0,34,07760
15151,ZCTA5 07762,72821.0,224.0,112.0,252.0,7726.0,0.0,34,07762
15152,ZCTA5 07764,85640.0,177.0,283.0,469.0,7294.0,66.0,34,07764
15153,ZCTA5 07801,67044.0,868.0,1440.0,15234.0,15436.0,7354.0,34,07801
15154,ZCTA5 07803,91429.0,270.0,95.0,659.0,3140.0,49.0,34,07803
15155,ZCTA5 07820,-666666666.0,0.0,0.0,8.0,34.0,5.0,34,07820
15156,ZCTA5 07821,107579.0,131.0,26.0,616.0,9043.0,166.0,34,07821
15157,ZCTA5 07822,69688.0,83.0,0.0,0.0,505.0,0.0,34,07822
15158,ZCTA5 07823,54508.0,126.0,93.0,221.0,7435.0,15.0,34,07823
15159,ZCTA5 07825,89464.0,61.0,128.0,459.0,9033.0,54.0,34,07825
